SampleID	DolphinID	Species	BodySite	Gender	Contra	Age	Origin	Wild	Facility	Code	Habitat	Type	Environment	Forward	Reverse	PCR30	PCR35
22	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	J	2	Y	n/a
23	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	K	2	Y	n/a
24	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	L	2	Y	n/a
25	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	A	3	Y	n/a
26	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	B	3	Y	n/a
27	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	D	3	Y	n/a
28	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	E	3	Y	n/a
29	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	F	3	Y	n/a
30	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	G	3	Y	n/a
31	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	H	3	Y	n/a
32	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	I	3	Y	n/a
33	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	ULM	Water	Wild	J	3	Y	n/a
34	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	K	3	Y	n/a
35	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	CCB	Water	Wild	L	3	Y	n/a
36	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	M	3	Y	n/a
37	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	A	4	Y	n/a
38	n/a	Tt	n/a	n/a	n/a	n/a	n/a	Y	n/a	n/a	PA	Water	Wild	B	4	Y	n/a
1B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	PA	Swab	Wild	D	4	W	n/a
2B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	E	4	W	n/a
3B	n/a	Tt	Skin	m	n/a	?	W	Y	n/a	n/a	ULM	Swab	Wild	F	4	VW	Y
